2022-02-07 17:44:59.313 [main-SendThread(127.0.0.1:2181)] INFO  [org.apache.zookeeper.ClientCnxn] - Session establishment complete on server 127.0.0.1/127.0.0.1:2181, sessionid = 0x100000038240018, negotiated timeout = 40000
2022-02-07 17:44:59.313 [main-EventThread] INFO  [org.apache.curator.framework.state.ConnectionStateManager] - State change: CONNECTED
2022-02-07 17:44:59.355 [main] WARN  [org.apache.curator.utils.ZKPaths] - The version of ZooKeeper being used doesn't support Container nodes. CreateMode.PERSISTENT will be used instead.
2022-02-07 21:20:31.398 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:host.name=LAPTOP-4KOG58BT
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.version=1.8.0_301
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.vendor=Oracle Corporation
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.home=D:\software\jdk8_301\jre
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.class.path=D:\software\jdk8_301\jre\lib\charsets.jar;D:\software\jdk8_301\jre\lib\deploy.jar;D:\software\jdk8_301\jre\lib\ext\access-bridge-64.jar;D:\software\jdk8_301\jre\lib\ext\cldrdata.jar;D:\software\jdk8_301\jre\lib\ext\dnsns.jar;D:\software\jdk8_301\jre\lib\ext\jaccess.jar;D:\software\jdk8_301\jre\lib\ext\jfxrt.jar;D:\software\jdk8_301\jre\lib\ext\localedata.jar;D:\software\jdk8_301\jre\lib\ext\nashorn.jar;D:\software\jdk8_301\jre\lib\ext\sunec.jar;D:\software\jdk8_301\jre\lib\ext\sunjce_provider.jar;D:\software\jdk8_301\jre\lib\ext\sunmscapi.jar;D:\software\jdk8_301\jre\lib\ext\sunpkcs11.jar;D:\software\jdk8_301\jre\lib\ext\zipfs.jar;D:\software\jdk8_301\jre\lib\javaws.jar;D:\software\jdk8_301\jre\lib\jce.jar;D:\software\jdk8_301\jre\lib\jfr.jar;D:\software\jdk8_301\jre\lib\jfxswt.jar;D:\software\jdk8_301\jre\lib\jsse.jar;D:\software\jdk8_301\jre\lib\management-agent.jar;D:\software\jdk8_301\jre\lib\plugin.jar;D:\software\jdk8_301\jre\lib\resources.jar;D:\software\jdk8_301\jre\lib\rt.jar;D:\code\mushixin\Distributed-Kit\target\test-classes;D:\code\mushixin\Distributed-Kit\target\classes;C:\Users\15809\.m2\repository\org\slf4j\slf4j-api\1.7.5\slf4j-api-1.7.5.jar;C:\Users\15809\.m2\repository\ch\qos\logback\logback-core\1.0.13\logback-core-1.0.13.jar;C:\Users\15809\.m2\repository\ch\qos\logback\logback-access\1.0.13\logback-access-1.0.13.jar;C:\Users\15809\.m2\repository\ch\qos\logback\logback-classic\1.0.13\logback-classic-1.0.13.jar;C:\Users\15809\.m2\repository\org\apache\curator\curator-recipes\2.9.1\curator-recipes-2.9.1.jar;C:\Users\15809\.m2\repository\org\apache\curator\curator-framework\2.9.1\curator-framework-2.9.1.jar;C:\Users\15809\.m2\repository\org\apache\curator\curator-client\2.9.1\curator-client-2.9.1.jar;C:\Users\15809\.m2\repository\org\apache\zookeeper\zookeeper\3.4.6\zookeeper-3.4.6.jar;C:\Users\15809\.m2\repository\log4j\log4j\1.2.16\log4j-1.2.16.jar;C:\Users\15809\.m2\repository\jline\jline\0.9.94\jline-0.9.94.jar;C:\Users\15809\.m2\repository\io\netty\netty\3.7.0.Final\netty-3.7.0.Final.jar;C:\Users\15809\.m2\repository\com\google\guava\guava\16.0.1\guava-16.0.1.jar;C:\Users\15809\.m2\repository\junit\junit\4.12\junit-4.12.jar;C:\Users\15809\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\15809\.m2\repository\redis\clients\jedis\2.7.2\jedis-2.7.2.jar;C:\Users\15809\.m2\repository\org\apache\commons\commons-pool2\2.3\commons-pool2-2.3.jar;D:\software\IDEA\lib\idea_rt.jar
2022-02-07 21:20:31.414 [Thread-52] INFO  [org.apache.zookeeper.ZooKeeper] - Client environment:java.library.path=D:\software\jdk8_301\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;D:\software\Git\cmd;D:\software\jdk8_301\bin;D:\software\jdk8_301\jre\bin;D:\software\apache-maven-3.8.4\bin;D:\software\Redis-x64-5.0.14;D:\phpstudy_pro\Extensions\MySQL5.7.26\bin;D:\software\nssm-2.24\win64;localhost:9876;D:\software\rocketmq-4.9.2;D:\software\python310\Scripts\;D:\software\python310\;C:\Users\15809\AppData\Local\Microsoft\WindowsApps;;.
